reserve_pct,buy_tiers,sell_tiers,median_value,mean_value,std_value,cagr,max_value,min_value,percentile_25,percentile_75,median_improvement,mean_improvement,cagr_improvement,sharpe_ratio,win_rate,beat_dca_rate
40,"[(20, 50), (40, 100)]","[(25, 25), (50, 50)]",69531.84871765101,66751.70624468388,28836.112658325088,2.992714637216376,222748.07301961025,18209.743388545718,45004.311847659555,81226.71087485015,25.442727131948534,3.757075273198687,4.564998557988609,0.08382196404405863,62.4,56.599999999999994
30,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(20, 20), (40, 40), (60, 60)]",69503.5281235273,66775.12524421816,26891.28710219162,2.984323402836875,176815.43590275315,18066.06298491067,44065.137869882165,82901.50240038772,25.391633818216846,3.79347714266692,4.556607323609107,0.09075499393823822,62.8,56.00000000000001
70,"[(20, 50), (40, 100)]","[(20, 20), (40, 40), (60, 60)]",69160.29451520857,66097.06642652117,26408.847260043516,2.8824071020439046,184987.8751261271,12608.106744579474,44777.718250743594,81560.83550756947,24.77240449144202,2.7395205661929554,4.454691022816137,0.06673747486587302,61.6,55.2
60,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(25, 25), (50, 50)]",69138.33124391848,66492.91581456385,24360.916040516448,2.875871787739648,158545.34501729129,18567.892966493335,47617.64386801759,82183.13170333614,24.73278045298799,3.3548183175559076,4.44815570851188,0.08859720893528276,63.800000000000004,56.599999999999994
50,"[(20, 50), (40, 100)]","[(20, 10), (40, 20), (60, 30)]",68925.14077768623,67031.58494468711,27362.529274634995,2.8123491187383776,167219.81517898547,10641.374299915624,45067.40929740612,84764.95638924383,24.34816255520562,4.192111274183501,4.384633039510611,0.09856465648151444,65.4,56.599999999999994
10,"[(10, 20), (20, 40), (30, 60)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",68858.9876619565,66741.9601975627,27423.460501165937,2.7926060473831393,192347.1948098393,17696.706278615286,44745.077537457095,84223.97413682564,24.228815415751438,3.741926276990832,4.364889968155373,0.0877844556194145,63.2,58.599999999999994
10,"[(15, 30), (25, 50), (35, 70)]","[(25, 25), (50, 50)]",68579.22794524342,63807.843627674956,26932.747202030554,2.7089449904128315,174210.07344785548,14802.691936450585,40714.341480806725,80013.47908612115,23.724099627902085,-0.8187864138016608,4.281228911185064,-0.019558458505586934,57.99999999999999,53.6
70,"[(10, 40), (20, 60), (30, 80)]","[(20, 20), (40, 40), (60, 60)]",68548.40054740297,66898.75742882426,29645.881522546875,2.699709485528201,230311.5161407512,15005.957633521934,44995.70202168604,79636.12153707058,23.668483778089286,3.9856477193611606,4.2719934063004334,0.08649264757422676,63.6,56.599999999999994
10,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(20, 20), (40, 40), (60, 60)]",68513.68552771243,65821.97560724893,27609.967680024136,2.6893053190023553,173060.19550933206,15897.009623704009,43166.716674415744,83314.42118138325,23.605854251868802,2.311926719564218,4.2615892397745885,0.05387072445063767,59.199999999999996,57.8
30,"[(20, 50), (40, 100)]","[(20, 20), (40, 40), (60, 60)]",68428.59420854639,65580.75274871355,27336.082792398814,2.6637854173647613,159434.3659580072,13502.903748104713,43859.41399033678,81312.07791289678,23.452340612748014,1.9369763295483202,4.2360693381369945,0.04558612555829423,60.6,56.8
40,"[(15, 30), (25, 50), (35, 70)]","[(25, 25), (50, 50)]",68412.00751813155,66806.66219892405,28086.7914306137,2.6588079146881993,164767.03943076706,15303.342962099137,44954.40432447613,81452.74717643716,23.422416488507043,3.8424973455560036,4.2310918354604325,0.08801487912080472,62.0,55.60000000000001
40,"[(20, 50), (40, 100)]","[(20, 20), (40, 40), (60, 60)]",68401.56186605993,67313.50627062657,28503.366488746724,2.65567278175618,172388.41490534344,13867.434170899627,43792.117729902224,83252.72824269865,23.403571439702773,4.630322278549403,4.227956702528413,0.10451044881085629,64.0,55.2
10,"[(10, 20), (20, 40), (30, 60)]","[(20, 10), (40, 20), (60, 30)]",68267.50937510951,67091.70728668402,28667.805589816708,2.6154045521438407,191372.79393734044,16736.68861954593,43953.903248718314,85700.24202627537,23.161726726038744,4.285563842141949,4.187688472916074,0.09617410833133502,59.199999999999996,58.4
80,"[(15, 30), (25, 50), (35, 70)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",68258.89501660803,66575.55058088723,26839.358214116386,2.6128147095921817,176609.62455308955,17418.399134806223,45817.35698301318,79993.12065361321,23.146185522362337,3.4832635986123823,4.185098630364415,0.08349469151767008,64.4,56.599999999999994
70,"[(20, 50), (40, 100)]","[(25, 25), (50, 50)]",68226.93559356194,66660.54564707437,28371.833103033052,2.6032040626180253,186523.3605424376,14135.888424914303,44941.034218109984,79513.7025728706,23.088527380684766,3.615377666946508,4.1754879833902585,0.0819805682755966,62.0,54.6
80,"[(20, 50), (40, 100)]","[(20, 20), (40, 40), (60, 60)]",68114.024780377,64880.355860710995,26978.163110496647,2.5692213322410007,184001.15830049085,13475.347427503859,43580.019238351335,77487.07597807502,22.884824464829336,0.8482980512251661,4.141505253013234,0.020229294789581954,61.8,54.2
70,"[(20, 50), (40, 100)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",68023.18601000294,66335.54082850668,26523.019104063955,2.5418488894599633,146372.28414876357,15629.701030727694,45642.95199595862,79523.6393742159,22.72094182262739,3.1101988285109696,4.114132810232196,0.07544141842935055,62.8,56.8
80,"[(10, 20), (20, 40), (30, 60)]","[(30, 15), (50, 25), (70, 35)]",67957.38256079335,65884.11827311384,24244.073752927543,2.5220020689115774,160791.3660340818,18904.107173020944,47531.41704508933,79089.50900523819,22.602225518145698,2.4085196251625924,4.09428598968381,0.06391300581897455,62.6,56.599999999999994
20,"[(15, 30), (25, 50), (35, 70)]","[(25, 25), (50, 50)]",67938.77568521048,65513.32448858698,26460.997217931177,2.516387305590917,166169.68410972145,14184.201070742753,44777.649305099185,80415.90609988467,22.56865676857888,1.8321676369308062,4.08867122636315,0.04454548075462903,62.8,54.800000000000004
20,"[(20, 50), (40, 100)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",67748.10459164443,65935.03161306235,26459.670945193408,2.4587798731017685,185201.31401869844,14070.077814448376,45142.03361058182,81309.3373284651,22.224666174293343,2.48765796547833,4.031063793874001,0.060485444815622305,61.199999999999996,55.00000000000001
30,"[(10, 20), (20, 40), (30, 60)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",67587.20192364938,65117.3450073745,26869.887825137397,2.4100653734659083,189682.95219445802,18079.86296658565,42821.410334243745,81263.44966391141,21.934380933093056,1.2166676722077663,3.982349294238141,0.02913068957343744,59.4,55.2
80,"[(15, 30), (25, 50), (35, 70)]","[(20, 20), (40, 40), (60, 60)]",67568.4969446421,65973.03254106079,26541.03222734282,2.4043962818016906,166757.3764334368,19046.494916008454,46018.136732674,80234.02068734105,21.90063519468839,2.5467255963840083,3.9766802025739234,0.061731807593584695,62.2,56.00000000000001
60,"[(10, 20), (20, 40), (30, 60)]","[(20, 10), (40, 20), (60, 30)]",67564.20628128349,66575.62651827642,25983.47096957786,2.4030956935936487,186363.28943873075,19150.437897546093,44261.34419164754,82469.78550790934,21.89289438924692,3.483381633668709,3.9753796143658815,0.08624790254669712,64.2,55.400000000000006
70,"[(15, 30), (25, 50), (35, 70)]","[(25, 25), (50, 50)]",67522.29455891968,64458.81887654735,26206.112076278678,2.390387913263492,149500.7612023941,14962.0665625002,42680.53725220058,79919.71682527957,21.817281258730805,0.19307218424910758,3.9626718340357248,0.004739819089473202,60.6,54.800000000000004
20,"[(15, 30), (25, 50), (35, 70)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",67436.70330042101,65812.79589119447,27731.921275118366,2.3644167309833097,158388.17988088474,16170.758581765002,42161.3532687368,82751.20585558697,21.662865676767392,2.297658013290898,3.9367006517555425,0.05330280690842004,60.8,56.39999999999999
70,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",67436.58980261098,65559.40266821119,26404.435003005834,2.364382274539323,175531.48973692767,15664.700780286485,44053.60838140931,82260.98579937022,21.662660914847837,1.9037903327491876,3.9366661953115556,0.046385996208759064,62.2,55.00000000000001
70,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(20, 20), (40, 40), (60, 60)]",67428.57223144843,64384.28667684694,24542.723215733877,2.361948127870228,174690.67985192503,17326.849866187327,44058.74341714864,79048.02099194286,21.648196377946356,0.07722131706309013,3.934232048642461,0.002024226494464845,62.8,54.400000000000006
80,"[(10, 40), (20, 60), (30, 80)]","[(20, 10), (40, 20), (60, 30)]",67418.87033907101,65322.25264489098,27413.378874714297,2.3590023091079715,157198.47101896402,14331.276691357274,44083.46600028954,79787.71645647497,21.630693149417144,1.5351706493738964,3.9312862298802043,0.036027882704186984,59.599999999999994,56.00000000000001
70,"[(10, 40), (20, 60), (30, 80)]","[(25, 25), (50, 50)]",67418.32984850886,65991.7910050471,28892.723339930275,2.358838188137602,173944.8075110002,16706.62409691113,42163.04566819277,83728.56770425549,21.629718047915368,2.575883253458754,3.9311221089098347,0.05735646097747746,59.4,54.2
70,"[(10, 20), (20, 40), (30, 60)]","[(25, 25), (50, 50)]",67322.54084551008,65443.08873992436,28448.092331640953,2.3297350401102035,200294.63896087202,18902.225262375534,42512.44479434674,80418.97400801441,21.4569046683343,1.7229950588674947,3.9020189608824363,0.03896507648859578,59.199999999999996,54.2
60,"[(10, 20), (20, 40), (30, 60)]","[(25, 25), (50, 50)]",67282.02818632695,64397.070112742425,25852.18098430045,2.317416289573604,166020.98077212754,19631.725975375968,43296.84230096874,77885.12894097148,21.383815594118303,0.09709154952720317,3.8897002103458367,0.0024161778270477413,60.199999999999996,53.400000000000006
30,"[(20, 50), (40, 100)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",67274.89680520765,64769.36039379158,27563.450443174228,2.3152472246750433,171723.1422073416,13556.942325727054,41529.965424575996,80851.95403868103,21.370949836737765,0.6757696521168891,3.887531145447276,0.015772834697185437,58.199999999999996,54.800000000000004
50,"[(15, 30), (25, 50), (35, 70)]","[(30, 15), (50, 25), (70, 35)]",67253.92813119807,65470.075300396784,26403.04629419062,2.3088683740311255,148654.59788905777,11840.868590018825,44152.58219674291,80568.603099548,21.33312015579855,1.7649422500904184,3.8811522948033583,0.04300521392409497,60.6,55.800000000000004
50,"[(15, 30), (25, 50), (35, 70)]","[(20, 20), (40, 40), (60, 60)]",67216.98545219486,64480.90071146402,26627.432906381437,2.2976262220549604,168591.86168710107,17480.811360751803,42004.108111677015,80049.54732843486,21.266471699196433,0.22739560063071199,3.869910142827193,0.005494110743271284,61.8,55.400000000000006
80,"[(15, 30), (25, 50), (35, 70)]","[(30, 15), (50, 25), (70, 35)]",67211.39063014663,65248.15808795539,26254.748300822816,2.2959232118196393,174028.29582081473,16716.09066050972,45224.092634206994,77900.49766573687,21.256378055082394,1.4200000424515815,3.868207132591872,0.034795665577164334,60.8,56.00000000000001
30,"[(15, 30), (25, 50), (35, 70)]","[(20, 20), (40, 40), (60, 60)]",67152.6013399491,65265.516517375254,26284.55828462436,2.2780214547189814,151544.98097548747,16740.396135171257,43400.66522707656,80486.69302646881,21.15031602704002,1.4469815230648209,3.850305375491214,0.03541660700657365,60.8,57.599999999999994
60,"[(20, 50), (40, 100)]","[(30, 15), (50, 25), (70, 35)]",67082.41294881109,66305.5722423139,29413.109493514115,2.2566321628096686,258839.72675211972,10738.352718913166,42503.36170561872,82998.17882983213,21.02368882871671,3.0636164558890875,3.8289160835819014,0.06700976639281128,61.0,56.00000000000001
10,"[(10, 20), (20, 40), (30, 60)]","[(30, 15), (50, 25), (70, 35)]",67065.41481546161,66261.53071882768,29185.05467209786,2.2514494390668993,264751.22983114957,17437.350834243272,42893.68623057662,85471.86419356757,20.99302241839056,2.9951594841563303,3.823733359839132,0.06602434342542333,59.599999999999994,56.99999999999999
80,"[(15, 30), (25, 50), (35, 70)]","[(25, 25), (50, 50)]",67051.91468762685,63785.96461563374,25398.092075342138,2.247332506948574,151370.523647757,15105.690622506268,44622.20512211611,76402.71231829004,20.96866677585473,-0.8527945677047597,3.8196164277208067,-0.021601702561203206,59.8,52.6
70,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(25, 25), (50, 50)]",66869.43230607102,64773.99013852068,24095.55601262593,2.1916184185666765,166004.71698599565,16088.998538091892,46314.819739927465,77748.686163087,20.63944947445878,0.6829660040811683,3.7639023393389093,0.018235042678538538,64.0,56.8
20,"[(10, 20), (20, 40), (30, 60)]","[(20, 20), (40, 40), (60, 60)]",66830.62999587363,65942.33245869853,27112.471138736804,2.1797559234565167,173244.37199247145,20300.125435351354,43617.64346104226,81437.9852640549,20.569446048691333,2.4990062055885307,3.7520398442287495,0.059298387233104766,62.4,56.99999999999999
40,"[(10, 20), (20, 40), (30, 60)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",66773.74530349323,65593.37691655676,26057.554010039737,2.1623553872981205,201192.4284081545,15787.923702105416,44141.85632112698,80560.60018699613,20.46682011430497,1.9565989999916549,3.7346393080703533,0.04830730734759059,63.0,58.4
20,"[(15, 30), (25, 50), (35, 70)]","[(30, 15), (50, 25), (70, 35)]",66750.81099392104,65015.901006835076,26982.43082051151,2.1553366255454343,162411.53684035738,12611.147907574898,41233.795954738074,82719.4194021349,20.425444221233207,1.0589858181829286,3.727620546317667,0.025249554612026888,60.8,53.400000000000006
60,"[(15, 30), (25, 50), (35, 70)]","[(20, 10), (40, 20), (60, 30)]",66651.2917299935,65684.02293361344,27180.65908204187,2.1248576184360157,173515.20913841287,14510.486786438096,44005.92786694998,79931.13508508625,20.245901060804268,2.0974967559304964,3.6971415392082485,0.04964619449708839,62.8,57.599999999999994
50,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",66623.7942788498,65243.78649186524,24759.64964818396,2.1164297643396113,153730.40060906386,15792.352328299723,44922.90139174983,80087.2523535641,20.196292783097594,1.4132049498598405,3.688713685111844,0.03672022256036216,62.4,59.199999999999996
40,"[(10, 40), (20, 60), (30, 80)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",66579.90649863277,65345.59540883684,29010.353028196783,2.102972575830586,182621.25608085937,15230.955006955523,41806.9376366663,83375.47258551753,20.117114637546656,1.5714540202728693,3.675256496602819,0.03484924025525881,59.0,54.800000000000004
30,"[(10, 20), (20, 40), (30, 60)]","[(20, 10), (40, 20), (60, 30)]",66513.11467641348,65948.05119235828,28054.351613211147,2.0824787597851557,187936.1819717602,13854.676377946755,42432.61349714569,82595.21631255801,19.996615204785652,2.5078952529580123,3.6547626805573885,0.057511382488382196,62.2,55.800000000000004
50,"[(15, 30), (25, 50), (35, 70)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",66470.55162347035,64808.09150149966,25986.398085924196,2.069410496294677,161034.13926914948,15397.591954456577,43597.99779330401,80908.69643762353,19.919827005784533,0.7359722549260277,3.6416944170669097,0.018220488028650332,61.6,56.8
80,"[(10, 20), (20, 40), (30, 60)]","[(20, 20), (40, 40), (60, 60)]",66453.02422027355,64502.510567601144,27910.33278189297,2.064027058385842,209324.4902912167,20443.413468292856,42739.21786927528,77586.44860183223,19.888205737299696,0.26098538576135477,3.636310979158075,0.006015833728888389,57.4,55.800000000000004
80,"[(20, 50), (40, 100)]","[(20, 10), (40, 20), (60, 30)]",66445.03465398017,65077.06318761032,28623.74115360834,2.061572733578654,164803.65759580905,16525.13317594889,41869.237476744835,79878.2817581654,19.8737917241111,1.1540546838581862,3.6338566543508866,0.02593848712363001,60.4,55.2
80,"[(10, 40), (20, 60), (30, 80)]","[(25, 25), (50, 50)]",66442.88181276796,65108.71030510643,26642.023826686665,2.060911359229789,168170.4631265223,15450.006429091809,44793.588084194955,80682.93913033656,19.869907773407608,1.2032461208558785,3.6331952800020217,0.02905573780261014,62.0,56.599999999999994
60,"[(10, 20), (20, 40), (30, 60)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",66437.3537478134,65077.512913563536,26512.219812851483,2.0592130038620704,204606.67115692745,16773.501409126347,43736.71247570756,78885.75505443112,19.859934566072386,1.1547537259082719,3.631496924634303,0.028021277453956824,61.6,55.2
10,"[(10, 40), (20, 60), (30, 80)]","[(20, 20), (40, 40), (60, 60)]",66434.27968820519,65519.037114574436,28694.293889670233,2.0582685294258107,232381.05214765767,16335.109730744132,40805.514740980034,83089.83293258859,19.854388641036145,1.84104719069705,3.6305524501980435,0.04127756106706253,60.199999999999996,56.2
60,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",66429.45061255235,65788.83830798377,25037.305387197248,2.056784773050069,143379.92362814292,17977.53873352849,44497.35086955267,81743.75345733426,19.845676483505585,2.26041898369298,3.6290686938223016,0.05808259472123743,63.0,55.800000000000004
60,"[(20, 50), (40, 100)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",66297.58744114292,65128.82301617635,28947.156273871093,2.0162358018892546,175650.4384903416,14905.650251605064,41822.31496406574,79587.42712596117,19.60778153126528,1.2345087835476742,3.5885197226614873,0.027436766582350225,60.199999999999996,51.2
60,"[(10, 40), (20, 60), (30, 80)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",66049.68869380628,65043.35456711257,26957.864654306235,1.9398299831050014,161067.6447659519,16455.792124465865,42726.58638825974,81036.95344982018,19.160546264376595,1.101658901471431,3.512113903877234,0.02629095182180982,60.199999999999996,52.800000000000004
50,"[(10, 20), (20, 40), (30, 60)]","[(25, 25), (50, 50)]",66048.81805319483,65426.89180429457,25492.986770671152,1.9395612356646108,196200.4932920676,17941.04843100404,45261.75912782243,79527.11498939109,19.15897553765688,1.6978189732828868,3.5118451564368436,0.042846496091382996,62.6,55.800000000000004
40,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(30, 15), (50, 25), (70, 35)]",66020.51539669896,65590.08262641956,25118.73371908356,1.9308232896222188,153233.1300627977,19300.69839043677,45316.63087969398,81533.27166301422,19.107914585281833,1.95147844309556,3.5031072103944516,0.049981658876315185,60.4,57.599999999999994
60,"[(10, 20), (20, 40), (30, 60)]","[(30, 15), (50, 25), (70, 35)]",65991.61813400578,65724.22607941987,26361.989993296844,1.9218986770276558,159360.58048424643,16134.607654767933,44660.39303097905,80071.15189854064,19.055780901139467,2.159987455574438,3.4941825977998886,0.052712994485844065,61.6,55.800000000000004
50,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(25, 25), (50, 50)]",65922.89309908624,65372.96009575966,27706.91616326726,1.9006611139654517,290329.09248373634,16026.87800347044,43337.928114309965,80188.50786876163,18.931793750480598,1.6139889611846636,3.4729450347376845,0.037476326970987045,62.4,56.2
10,"[(15, 30), (25, 50), (35, 70)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",65901.90102907625,65589.97924344789,27740.840341315197,1.8941705665121988,165114.03061378136,13545.780837487435,42682.078207293205,84109.31838540887,18.89392186070975,1.9513177473564154,3.4664544872844316,0.04525358935543468,61.0,54.400000000000006
10,"[(20, 50), (40, 100)]","[(20, 10), (40, 20), (60, 30)]",65890.88198294172,66072.47917081241,29978.66346465526,1.890762920755984,218310.42947056744,16745.389043783918,42434.86312504581,82184.20816924647,18.874042349047095,2.701302790425793,3.4630468415282167,0.057970313673056925,60.6,52.800000000000004
80,"[(15, 30), (25, 50), (35, 70)]","[(20, 10), (40, 20), (60, 30)]",65859.35515060922,64616.19730404109,25768.440016712695,1.8810107126401965,156251.7145096882,16499.259273923304,42931.806691761194,77640.87544004542,18.8171646462597,0.43769702257143256,3.4532946334124293,0.010927733987432813,61.6,54.400000000000006
80,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(20, 20), (40, 40), (60, 60)]",65812.64475253382,66817.74368975023,27205.594851650803,1.8665548977565338,181703.8089427519,22110.84334333359,46566.547353699694,81977.99081477989,18.73289420288646,3.859722119909738,3.4388388185287666,0.09127302883922153,63.4,56.599999999999994
80,"[(10, 20), (20, 40), (30, 60)]","[(20, 10), (40, 20), (60, 30)]",65759.76398558856,66029.99230175234,26706.16468133517,1.8501795834803492,225369.68866381992,21098.539587120715,47605.16371353416,78705.36001906841,18.637491768738936,2.635262332148528,3.422463504252582,0.06348293271290671,62.2,56.8
70,"[(20, 50), (40, 100)]","[(30, 15), (50, 25), (70, 35)]",65744.89171525277,65574.18628498165,28703.79836169688,1.8455722662960028,165942.45804056135,18415.044836923294,42962.81582701187,79146.14439283013,18.6106606376246,1.9267695931210607,3.4178561870682356,0.043185212740640216,60.199999999999996,51.4
